Date,Open,High,Low,Close,Adj Close,Volume
2010-06-29,3.8,5,3.508,4.778,4.778,93831500
2010-06-30,5.158,6.084,4.66,4.766,4.766,85935500
2010-07-01,5,5.184,4.054,4.392,4.392,41094000
2010-07-02,4.6,4.62,3.742,3.84,3.84,25699000
2010-07-06,4,4,3.166,3.222,3.222,34334500
2010-07-07,3.28,3.326,2.996,3.16,3.16,34608500
2010-07-08,3.228,3.504,3.114,3.492,3.492,38557000
2010-07-09,3.516,3.58,3.31,3.48,3.48,20253000
2010-07-12,3.59,3.614,3.4,3.41,3.41,11012500
2010-07-13,3.478,3.728,3.38,3.628,3.628,13400500
2010-07-14,3.588,4.03,3.552,3.968,3.968,20976000
2010-07-15,3.988,4.3,3.8,3.978,3.978,18699000
2010-07-16,4.14,4.26,4.01,4.128,4.128,13106500
2010-07-19,4.274,4.45,4.184,4.382,4.382,12432500
2010-07-20,4.37,4.37,4.01,4.06,4.06,9126500
2010-07-21,4.132,4.18,3.9,4.044,4.044,6262500
2010-07-22,4.1,4.25,4.074,4.2,4.2,4789000
2010-07-23,4.238,4.312,4.212,4.258,4.258,3268000
2010-07-26,4.3,4.3,4.06,4.19,4.19,4611000
2010-07-27,4.182,4.236,4.052,4.11,4.11,3098500
2010-07-28,4.11,4.18,4.102,4.144,4.144,2336000
2010-07-29,4.154,4.176,4,4.07,4.07,3080000
2010-07-30,4.04,4.088,3.91,3.988,3.988,2134500
2010-08-02,4.1,4.194,4.066,4.184,4.184,3590500
2010-08-03,4.2,4.39,4.164,4.39,4.39,6152500
2010-08-04,4.39,4.436,4.17,4.252,4.252,4565000
2010-08-05,4.308,4.31,4.01,4.09,4.09,3981000
2010-08-06,4.02,4.032,3.904,3.918,3.918,3709500
2010-08-09,3.98,3.996,3.89,3.92,3.92,4063500
2010-08-10,3.93,3.93,3.764,3.806,3.806,6406500
2010-08-11,3.738,3.776,3.57,3.58,3.58,3988000
2010-08-12,3.56,3.58,3.478,3.52,3.52,3455000
2010-08-13,3.636,3.69,3.532,3.664,3.664,3170000
2010-08-16,3.69,3.76,3.652,3.756,3.756,2429000
2010-08-17,3.792,3.88,3.756,3.83,3.83,2239500
2010-08-18,3.918,3.918,3.72,3.754,3.754,3006500
2010-08-19,3.708,3.85,3.666,3.758,3.758,2895500
2010-08-20,3.73,3.822,3.702,3.82,3.82,1480000
2010-08-23,3.818,4.078,3.8,4.026,4.026,5440500
2010-08-24,3.85,3.942,3.79,3.84,3.84,3365500
2010-08-25,3.832,3.996,3.712,3.98,3.98,2516500
2010-08-26,3.978,4.054,3.92,3.95,3.95,2169000
2010-08-27,3.95,3.974,3.9,3.94,3.94,1898000
2010-08-30,3.94,4.038,3.922,3.974,3.974,3664000
2010-08-31,3.932,3.958,3.866,3.896,3.896,1005500
2010-09-01,3.924,4.138,3.92,4.09,4.09,2474500
2010-09-02,4.074,4.248,4.062,4.212,4.212,2435500
2010-09-03,4.174,4.26,4.132,4.21,4.21,2173000
2010-09-07,4.122,4.2,4.1,4.108,4.108,1217000
2010-09-08,4.132,4.19,4.12,4.18,4.18,1442000
